area;rooms;bathrooms;age;district;price
114;4;1;23;Al-Maalla;112421
128;4;3;7;Crater;154446
238;5;1;18;Mansoura;199668
127;5;1;22;Mansoura;131682
248;2;1;8;Al-Maalla;186500
84;5;3;25;Al-Maalla;117483
177;1;3;19;Crater;142182
200;5;1;22;Sheikh Othman;169426
194;1;1;20;Sheikh Othman;134348
102;4;1;15;Mansoura;114355
188;2;3;13;Crater;160751
62;1;2;21;Mansoura;62691
243;5;3;14;Mansoura;220941
127;4;3;29;Crater;134006
178;1;1;1;Crater;137499
112;4;1;27;Crater;121247
243;4;1;14;Crater;206216
73;3;3;15;Crater;99693
184;5;1;15;Al-Maalla;167284
178;2;1;1;Al-Maalla;146078
128;3;1;26;Al-Maalla;112059
125;1;3;30;Al-Maalla;98244
135;4;1;9;Crater;140712
151;5;2;32;Al-Maalla;145663
164;5;3;6;Crater;183192
102;5;3;8;Mansoura;139214
93;4;3;30;Crater;117486
80;4;1;0;Mansoura;107680
185;4;1;5;Sheikh Othman;162422
250;4;2;10;Crater;214652
174;1;1;28;Crater;123944
230;2;1;5;Sheikh Othman;172110
238;2;3;9;Crater;195278
120;3;1;4;Sheikh Othman;117830
179;3;2;20;Al-Maalla;153729
182;3;1;7;Sheikh Othman;152990
231;4;1;30;Crater;184766
154;2;1;17;Sheikh Othman;116310
219;3;3;29;Crater;183641
77;2;1;7;Mansoura;81443
83;5;1;6;Mansoura;116147
236;1;3;14;Sheikh Othman;174044
243;2;3;21;Sheikh Othman;188804
79;5;1;17;Sheikh Othman;95925
168;3;2;30;Al-Maalla;139186
62;2;3;22;Sheikh Othman;77029
237;5;3;21;Sheikh Othman;205989
130;5;2;31;Al-Maalla;132483
151;4;1;10;Al-Maalla;144235
196;2;2;31;Sheikh Othman;141874
80;3;3;22;Sheikh Othman;90032
98;5;1;24;Crater;117099
116;4;1;8;Mansoura;124684
171;5;1;16;Al-Maalla;163555
197;5;1;15;Sheikh Othman;173687
166;5;1;16;Al-Maalla;153665
136;5;1;16;Al-Maalla;133355
84;1;3;26;Crater;90213
141;2;3;21;Mansoura;125984
224;2;3;24;Crater;176439
179;4;1;11;Crater;166370
177;2;3;19;Crater;153713
210;2;2;20;Al-Maalla;156807
221;2;2;14;Al-Maalla;172568
156;3;2;28;Sheikh Othman;134384
234;5;1;3;Sheikh Othman;196934
101;1;1;5;Al-Maalla;89127
156;2;3;21;Crater;137423
155;5;2;22;Mansoura;157694
65;5;1;2;Mansoura;105002
170;1;1;19;Al-Maalla;120424
244;4;2;11;Al-Maalla;207509
152;1;3;7;Crater;142445
75;4;2;33;Al-Maalla;89022
156;5;1;23;Al-Maalla;141429
79;2;1;23;Mansoura;79593
91;2;2;10;Crater;98973
150;2;2;33;Crater;120841
127;4;1;4;Al-Maalla;124961
120;2;2;19;Al-Maalla;102981
61;3;3;19;Mansoura;86094
202;3;3;20;Sheikh Othman;172970
195;3;3;15;Al-Maalla;170622
241;1;2;16;Crater;175320
66;5;2;4;Crater;114048
78;1;2;7;Crater;91235
73;4;2;4;Sheikh Othman;99757
109;4;2;4;Al-Maalla;126172
148;2;2;16;Mansoura;123666
127;1;1;31;Mansoura;94797
171;5;2;0;Mansoura;174894
139;2;1;20;Sheikh Othman;113162
139;5;2;33;Sheikh Othman;138988
102;3;2;33;Crater;102301
122;2;1;31;Crater;99469
159;1;1;23;Mansoura;117164
159;3;2;3;Crater;155644
147;3;3;30;Al-Maalla;135319
78;4;1;28;Crater;91148
182;2;2;9;Al-Maalla;144599
147;3;3;17;Sheikh Othman;142354
168;4;3;13;Crater;168435
111;2;3;19;Al-Maalla;110596
168;2;2;18;Al-Maalla;139575
129;1;3;17;Mansoura;118258
146;3;3;9;Sheikh Othman;143576
241;5;2;10;Al-Maalla;212891
164;2;2;27;Mansoura;136534
180;1;3;30;Al-Maalla;130506
83;2;2;29;Crater;90641
93;3;1;0;Sheikh Othman;104500
76;1;1;4;Crater;83377
240;4;3;18;Sheikh Othman;204010
208;1;3;7;Sheikh Othman;156634
87;3;3;7;Mansoura;116493
92;1;1;24;Mansoura;77827
236;5;1;18;Mansoura;200450
215;4;1;29;Crater;176659
60;3;1;3;Crater;93230
186;5;1;26;Al-Maalla;161377
